病院 M1 名詞-一般 O
、 S2 記号-読点 O
地下鉄 M1 名詞-一般 O
で S9 助動詞 O
大幅 M1 名詞-形容動詞語幹 O
な S9 助詞-終助詞 O
赤字 M1 名詞-一般 O
が S9 助詞-格助詞-一般 O
出 S1 動詞-自立 O
たため M9 動詞-自立 O
と S9 助詞-格助詞-引用 O
、 S2 記号-読点 O
東 S1 名詞-一般 O
京都 M1 名詞-固有名詞-地域-一般 B-LOCATION
の S9 助詞-連体化 O
市場 M1 名詞-一般 O
事業 M1 名詞-一般 O
で S9 助動詞 O
過去 M1 名詞-副詞可能 O
五 S6 名詞-数 O
年間 M1 名詞-一般 O
で S9 助動詞 O
計 S1 接頭詞-数接続 O
四千百億円計上 T6-1 名詞-数 O
され M9 動詞-自立 O
た S9 助動詞 O
土地 M1 名詞-一般 O
売却 M1 名詞-サ変接続 O
益 S1 名詞-サ変接続 O
（ S2 記号-括弧開 O
前年度 M1 名詞-副詞可能 O
五 S6 名詞-数 B-MONEY
円 S1 名詞-一般 I-MONEY
） S2 記号-括弧閉 O
が S9 助詞-格助詞-一般 O
九 S6 名詞-数 B-DATE
年度 M1 名詞-一般 I-DATE
から M9 助詞-格助詞-一般 O
なくなっ M9 動詞-自立 O
た S9 助動詞 O
の S9 助詞-連体化 O
が S9 助詞-格助詞-一般 O
大きな T1-9 連体詞 O
要因 M1 名詞-一般 O
。 S2 記号-句点 O

　 S13 記号-空白 O
事業 M1 名詞-一般 O
別 S1 名詞-一般 O
概要 M1 名詞-一般 O
は S9 助詞-係助詞 O
次 S1 名詞-一般 O
の S9 助詞-連体化 O
通り T1-9 名詞-一般 O
。 S2 記号-句点 O

　 S13 記号-空白 O
【 S2 記号-括弧開 O
水道 M1 名詞-一般 O
】 S2 記号-括弧閉 O
一人 T6-1 名詞-一般 O
一 S6 名詞-数 O
日当たり T1-9 名詞-一般 O
使用 M1 名詞-サ変接続 O
量 S1 動詞-自立 O
は S9 助詞-係助詞 O
三百三十八 M6 名詞-数 O
リットル M10 名詞-一般 O
（ S2 記号-括弧開 O
前年度 M1 名詞-副詞可能 O
三百四十一 M6 名詞-数 O
リットル M10 名詞-一般 O
） S2 記号-括弧閉 O
で S9 助動詞 O
、 S2 記号-読点 O
冷夏 M1 名詞-一般 O
の S9 助詞-連体化 O
影響 M1 名詞-サ変接続 O
で S9 助動詞 O
八 S6 名詞-数 B-DATE
〇 S2 記号-一般 I-DATE
年度 M1 名詞-一般 I-DATE
以来 M1 名詞-副詞可能 O
十 S6 名詞-数 O
年 S1 名詞-一般 O
ぶり M9 名詞-一般 O
に S9 助詞-格助詞-一般 O
減少 M1 名詞-サ変接続 O
。 S2 記号-句点 O

収支 M1 名詞-一般 O
は S9 助詞-係助詞 O
八百十一億円 T6-1 名詞-数 O
の S9 助詞-連体化 O
黒字 M1 名詞-一般 O

　 S13 記号-空白 O
【 S2 記号-括弧開 O
地下鉄 M1 名詞-一般 O
】 S2 記号-括弧閉 O
建設 M1 名詞-サ変接続 O
費 S1 名詞-接尾-一般 O
の S9 助詞-連体化 O
