毎	k	B
日	k	I
新	k	I
聞	k	I
社	k	I
特	k	B
別	k	I
顧	k	B
問	k	I
４	n	B
氏	k	B
の	h	B
略	k	B
歴	k	I
　	y	B
有	k	B
馬	k	I
朗	k	B
人	k	I
氏	k	B
、	y	B
梅	k	B
棹	k	I
忠	k	B
夫	k	I
氏	k	B
、	y	B
京	k	B
極	k	I
純	k	B
一	k	I
氏	k	B
、	y	B
丸	k	B
谷	k	I
才	k	B
一	k	I
氏	k	B

　	y	B
１	n	B
日	k	B
付	k	B
で	h	B
毎	k	B
日	k	I
新	k	I
聞	k	I
社	k	I
特	k	B
別	k	I
顧	k	B
問	k	I
に	h	B
委	k	B
嘱	k	I
さ	h	B
れ	h	B
た	h	B
４	n	B
氏	k	B
の	h	B
略	k	B
歴	k	I
は	h	B
次	k	B
の	h	B
通	k	B
り	h	I
。	y	B

　	y	B
有	k	B
馬	k	I
朗	k	B
人	k	I
氏	k	B
（	y	B
あ	h	B
り	h	I
ま	h	I
・	t	B
あ	h	B
き	h	I
と	h	I
）	y	B
大	k	B
阪	k	I
市	k	B
出	k	B
身	k	I
。	y	B

１	n	B
９	n	B
５	n	B
３	n	B
年	k	B
東	k	B
大	k	I
理	k	B
学	k	I
部	k	I
卒	k	B
。	y	B

７	n	B
５	n	B
年	k	B
同	k	B
教	k	B
授	k	I
。	y	B

８	n	B
９	n	B
年	k	B
東	k	B
大	k	I
学	k	B
長	k	I
。	y	B

９	n	B
３	n	B
年	k	B
か	h	B
ら	h	I
理	k	B
化	k	I
学	k	I
研	k	I
究	k	I
所	k	I
理	k	B
事	k	I
長	k	B
。	y	B

日	k	B
本	k	I
学	k	B
術	k	I
会	k	B
議	k	I
会	k	B
員	k	I
。	y	B

著	k	B
書	k	I
に	h	B
「	y	B
原	k	B
子	k	I
と	h	B
原	k	B
子	k	I
核	k	I
」	y	B
「	y	B
シ	t	B
ン	t	I
メ	t	I
ト	t	I
リ	t	I
ー	t	I
の	h	B
世	k	B
界	k	I
」	y	B
。	y	B

俳	k	B
誌	k	I
「	y	B
天	k	B
為	k	I
」	y	B
主	k	B
宰	k	I
。	y	B

句	k	B
集	k	I
に	h	B
「	y	B
知	k	B
命	k	I
」	y	B
な	h	B
ど	h	I
。	y	B

６	n	B
３	n	B
歳	k	B
。	y	B

　	y	B
梅	k	B
棹	k	I
忠	k	B
夫	k	I
氏	k	B
（	y	B
う	h	B
め	h	I
さ	h	I
お	h	I
・	t	B
た	h	B
だ	h	I
お	h	I
）	y	B
京	k	B
都	k	I
府	k	B
出	k	B
身	k	I
。	y	B

４	n	B
３	n	B
年	k	B
京	k	B
大	k	I
理	k	B
学	k	I
部	k	I
卒	k	B
。	y	B

大	k	B
阪	k	I
市	k	I
立	k	I
大	k	I
助	k	B
教	k	I
授	k	I
、	y	B
京	k	B
大	k	I
人	k	B
文	k	I
研	k	I
