A.D. Calvo
Abbas Kiarostami
Adrian Lyne
Agnieszka Holland
Agnes Varda
Aki Kaurismaki
Akira Kurosawa
Al Christie
Alain Resnais
Alain Robbe
Alain Tanner
Alan Crosland
Alan J. Pakula
Alan Parker
Albert Brooks
Alejandro Amenabar
Alejandro Gonzalez Inarritu
Alejandro Jodorowsky
Alessandro Blasetti
Alex Cox
Alex De La Iglesia
Alexander Korda
Alexander Moore
Alexander Payne
Alfonso Arau
Alfonso Cuaron
Alfred Hitchcock
Alice Guy
Alice Guy Blache
Allan Dwan
Amir Naderi
Anand Patwardhan
Andre de Toth
Andrei Tarkovsky
Andrew Davis
Andrew Dominik
Andrew Niccol
Andrzej Wajda
Andrzej Z.u?awski
Andy Tennant
Ang Lee
Anthony Asquith
Anthony Mann
Anthony Minghella
Antoine Fuqua
Arne Sucksdorff
Arthur Penn
Asia Argento
Atom Egoyan
Babar Ahmed
Bae Yong
Bahman Ghobadi
Bam Margera
Barry Levinson
Barry Sonnenfeld
Baz Luhrmann
Benedek Fliegauf
Benjamin Christensen
Bent Hamer
Bernardo Bertolucci
Bertrand Blier
Bertrand Tavernier
Bharathan
Bill Condon
Bill Duke
Bille August
Billy Wilder
Blake Edwards
Bo Widerberg
Boaz Yakin
Bob Clark
Bob Fosse
Bob Rafelson
Brad Bird
Brett Ratner
Brian De Palma
Brian G. Hutton
Brian Helgeland
Brian Yuzna
Bruce Beresford
Bryan Singer
Budd Boetticher
Busby Berkeley
Buster Keaton
Cai Chusheng
Cameron Crowe
Carl Reiner
Carl Theodor Dreyer
Carlos Atanes
Carol Reed
Catherine Breillat
Cecil B. DeMille
Cesar Montano
Chantal Akerman
Charlie Chaplin
Chris Columbus
Chris Marker
Chris Weitz
Christopher Nolan
Claire Denis
Clarence Brown
Clark Johnson
Claude Chabrol
Claude Lanzmann
Claude Lelouch
Claude Sautet
Clint Eastwood
Clyde Geronimi
Colin Cant
Costa
Curtis Hanson
Cy Endfield
D. W. Griffith
Dallas Tanner
Daniel Petrie
Danis Tanovic
Danny Boyle
Danny DeVito
Dario Argento
Dariush Mehrjui
Darren Aronofsky
Darren Lynn Bousman
David Cronenberg
David Fincher
David Lean
David Lynch
David Maloney
David Winning
Dean Parisot
Del Lord
Delbert Mann
Delmer Daves
Dennis Hopper
Denzel Washington
Derek Jarman
Dinesh Baboo
Don Coscarelli
Don Siegel
Donald Cammell
Dorothy Arzner
Douglas Sirk
Eddie Garcia
Edward Bernds
Edward D. Wood
Edward Zwick
Edwin Brienen
Elem Klimov
Eli Roth
Elia Kazan
Elio Petri
Emeric Pressburger
Emile Degelin
Emir Kusturica
Erich von Stroheim
Erik Van Looy
Ernst Lubitsch
Ettore Scola
Ewald Andre Dupont
F. Gary Gray
F. W. Murnau
Fabian Bielinsky
Federico Fellini
Fei Mu
Francis Boggs
Francis Ford Coppola
Frank Borzage
Frank Capra
Frank Darabont
Frank Lloyd
Frank Scheffer
Franklin Schaffner
Francois Ozon
Francois Truffaut
Fred Niblo
Fred Schepisi
Fred Zinnemann
Fritz Lang
Gabriel Pascal
Gaspar Noe
Geir Hansteen Jorgensen
Gene Kelly
Geoffrey Sax
Georg Wilhelm Pabst
George Clooney
George Cukor
George Kuchar
George Lucas
George Marshall
George Miller
George Romero
George Roy Hill
George Seaton
George Stevens
George Tillman
Gillian Armstrong
Girish Karnad
Girish Kasaravalli
Gore Verbinski
Gregory Nava
Grigori Chukhrai
Guillermo Del Toro
Gus Van Sant
Guy Maddin
Guy Ritchie
Hal Ashby
Hal Hartley
Harmony Korine
Harold Ramis
Hayao Miyazaki
Hector Babenco
Heinosuke Gosho
Helmut Kautner
Henry Hathaway
Henry King
Henry Koster
Henry Winkler
Herbert Ross
Hirokazu Koreeda
Howard Hawks
Howard Hughes
Hsiao
Ida Lupino
Ingmar Bergman
Irwin Allen
Ishmael Bernal
Istvan Szabo
Ivan Reitman
J.J. Abrams
Jack Arnold
Jack Clayton
Jack Hofsiss
Jack Nicholson
Jacobo Morales
Jacques Demy
Jacques Feyder
Jacques Rivette
Jacques Tati
Jacques Tourneur
James Cameron
James Ivory
James Kerwin
James L. Brooks
James Wan
James Whale
Jan Bucquoy
Jan Kounen
Jan Svankmajer
Jan de Bont
Jane Campion
Jang Jun
Jaromil Jires
Jean
Jean Cocteau
Jean Delannoy
Jean Renoir
Jean Vigo
Jehane Noujaim
Jeremy Dick
Jerome Robbins
Jerry Lewis
Jerzy Kawalerowicz
Jia Zhangke
Jim Jarmusch
Jim Sheridan
Joe Ahearne
Joe D'Amato
Joe Dante
Joel Coen
Joel Schumacher
John Badham
John Boorman
John Carpenter
John Cassavetes
John English
John Farrow
John Ford
John Frankenheimer
John G. Avildsen
John Greyson
John Guillermin
John Hughes
John Huston
John Landis
John M. Stahl
John McTiernan
John Milius
John Rich
John Roecker
John Sayles
John Schlesinger
John Singleton
John Sturges
John Waters
John Woo
John and Roy Boulting
Johnnie To
Jonathan Dayton
Jonathan Demme
Jonathan Lynn
Joris Ivens
Joseph Leo Mankiewicz
Julian Schnabel
Julie Dash
Julien Duvivier
Julius Amedume
Jorn Donner
Kaige Chen
Kamal
Kar
Karel Kachyn
Karel Reisz
Kay Pollak
Keith Boak
Ken Loach
Ken Russell
Kenji Mizoguchi
Kenneth Branagh
Kevin Costner
Kevin Smith
Khwaja Ahmad Abbas
Kihachi Okamoto
Kim Ki
King Baggot
King Vidor
Kinji Fukasaku
Kon Ichikawa
Krzysztof Kies'lowski
Krzysztof Zanussi
Karoly Makk
Ladislas Starevich
Lamberto Bava
Larry Clark
Larry Cohen
Lars von Trier
Lasse Hallstrom
Laura Neri
Lawrence Kasdan
Leni Riefenstahl
Leo McCarey
Leopold Lummerstorfer
Leos Carax
Lester James Peries
Lewis Gilbert
Lewis Milestone
Li Tie
Li Yang
Lina Wertmueller
Lindsay Anderson
Lino Brocka
Lionel Ngakane
Lloyd Bacon
Lloyd Kaufman
Lou Ye
Louis Feuillade
Louis Malle
Louis van Gasteren
Luc Besson
Luchino Visconti
Lucio Fulci
Lucky McKee
Luis Bunuel
Luis Mandoki
Luis Valdez
Laszlo Benedek
Leonce Perret
M. Night Shyamalan
Mack Sennett
Mani Ratnam
Manoel de Oliveira
Marc Allegret
Marc Evans
Marc Forster
Marcel Carne
Marco Brambilla
Marco Martins
Marcus Nispel
Marguerite Duras
Mario Bava
Mark DeFriest
Mark Robson
Mark Rydell
Martin Brest
Martin Campbell
Martin Ritt
Martin Scorsese
Mathieu Kassovitz
Maurice Pialat
Maurice Tourneur
Mauritz Stiller
Max Linder
Max Ophuls
Mel Brooks
Mel Gibson
Melvin Van Peebles
Merian C. Cooper
Michael Apted
Michael Bay
Michael Cimino
Michael Curtiz
Michael Haneke
Michael Hoffman
Michael Mann
Michael Moore
Michael Powell
Michael Radford
Michael Winner
Michael Winterbottom
Michel Gondry
Michelangelo Antonioni
Mick Garris
Miguel Arteta
Mike Figgis
Mike Leigh
Mike Newell
Mike Nichols
Mike van Diem
Mikko Niskanen
Miklos Jancso
Milos Forman
Ming
Mira Nair
Miranda July
Monte Hellman
Moustapha Akkad
Mrinal Sen
Muzhaffar Petra
Nagisa Oshima
Nanni Moretti
Neil Jordan
Neil LaBute
Nicholas Ray
Nick Cassavetes
Nicolas Roeg
Nora Ephron
Norman Jewison
Norman Taurog
Noel Mitrani
Nuri Bilge Ceylan
Oliver Stone
Orson Welles
Oscar Micheaux
Otto Preminger
P. Padmarajan
Pablo Trapero
Park Chan
Partho Sen
Patrice Leconte
Patricia Rozema
Patty Jenkins
Paul Thomas Anderson
Paul Verhoeven
Paul Weitz
Pedro Almodovar
Pekka Karjalainen
Percy Adlon
Peter Bogdanovich
Peter Jackson
Peter Ustinov
Peter Weir
Phil Alden Robinson
Phil Joanou
Philip Kaufman
Pier Paolo Pasolini
Piers Haggard
Preston Sturges
Pupi Avati
Puttanna Kanagal
Quentin Tarantino
Rainer Werner Fassbinder
Raj Kapoor
Ram Gopal Varma
Randall Wallace
Raoul Walsh
Renny Harlin
Rene Clair
Rene Clement
Rex Ingram
Reza Parsa
Richard Attenborough
Richard Brooks
Richard Donner
Richard Dutcher
Richard Fleischer
Richard Kelly
Richard Lester
Richard Linklater
Richard Oswald
Richard Thorpe
Ridley Scott
Risto Jarva
Ritwik Ghatak
Rob Reiner
Robert Aldrich
Robert Altman
Robert Benton
Robert Bresson
Robert Downey Sr.
Robert G. Vignola
Robert Gist
Robert J. Flaherty
Robert Moore
Robert Mulligan
Robert Redford
Robert Rodriguez
Robert Rossen
Robert Siodmak
Robert Stevenson
Robert Wise
Robert Zemeckis
Roberto Benigni
Roberto Rossellini
Rod Lurie
Roger Avary
Roger Corman
Roger Donaldson
Roger Kumble
Roger Michell
Roger Vadim
Roland Emmerich
Roman Karmen
Roman Polanski
Ron Howard
Ron Underwood
Ruby Yang
Rudolph Cartier
Russ Meyer
Russell Mulcahy
Ryuhei Kitamura
