## ACRONYM
form-word_form-signifier-descriptor-5907188,acronym

## ACTOR
actor-histrion-player-thespian-role_player-9145973,actor
star-principal-lead-9954648,actor

## AGE
age-4675601,age
life-lifetime-lifespan-14283309,age
age-eld-14287747,age
life_expectancy-14284833,age

## AIRPORT
airfield-landing_field-flying_field-field-2595896,airport

## ANGLE
angle-13100378,angle
angular_unit-12834123,angle

## ANTHEM
anthem-6617014,anthem

## AREA
area_unit-square_measure-12834448,area
estate-land-landed_estate-acres-demesne-12492114,area

## AUTHOR
writer-author-10090311,author

## BACTERIA
bacteria-bacterium-1274580,bacteria
 
## BIRD
bird-1425787,bird

## BODY_PART
body_part-4919813,body_part

## BOOK
novel-5972518,book
book-6013091,book
literary_composition-literary_work-5969222,book
record-6237254,book
writing_style-literary_genre-genre-6655917,book
writing-written_material-piece_of_writing-5967883,book

## CANAL
canal-8657549,canal

## CAPITAL
capital-8000081,capital

## CAUSE_OF_DEATH
killing-kill-putting_to_death-207854,cause_of_death
punishment-penalty-penalization-penalisation-1095678,cause_of_death
maltreatment-ill-treatment-ill-usage-abuse-400793,cause_of_death
ill_health-unhealthiness-health_problem-13250489,cause_of_death

## CENTURY
century-14344667,century

## CHEMICAL_ELEMENT
chemical_element-element-13785984,chemical_element

## CITY
municipality-8100109,city
municipality-7727462,city
community-7725775,city

## COLOR
color-colour-coloring-colouring-4701714,color

## COMPANY
company-7568361,company
enterprise-7566541,company
supplier-provider-9981331,company
place_of_business-business_establishment-3802951,company
plant-works-industrial_plant-3806817,company
workplace-work-4423637,company
lawsuit-suit-case-cause-causa-1116242,company
employer-9411107,company
trade_name-brand_name-brand-marque-6425540,company
manufacturer-producer-9627477,company

## COMPETITION
contest-competition-7000331,competition

## CONFLICT
conflict-struggle-battle-901980,conflict
battle-conflict-fight-engagement-896789,conflict

## CONTINENT
continent-8677230,continent

## COUNTRY
state-nation-country-land-commonwealth-res_publica-body_politic-7673557,country
country-state-land-8023668,country
democracy-republic-commonwealth-7853810,country
importer-9543397,country
exporter-9427989,country
colony-settlement-7864196,country
government-authorities-regime-7561622,country

## COUNTY
county-8024990,county

## CRIME
crime-law-breaking-717412,crime

## CURRENCY
currency-12627781,currency

## DATE
date-day_of_the_month-14301432,date

## DAY
day-14266428,day

## DAY_MONTH
day-14299333,day_month

## DAYS
life-14283784,days

## DECADE
decade-decennary-decennium-14344118,decade

## DIRECTOR
director-theater_director-theatre_director-9374656,director

## DISEASE
ill_health-unhealthiness-health_problem-13250489,disease
disorder-upset-13250846,disease
abnormality-abnormalcy-abnormal_condition-13676023,disease
defect-13642919,disease
disorder-upset-13250846,disease
symptom-13488939,disease
retardation-mental_retardation-backwardness-slowness-subnormality-5321947,disease

## DURATION
duration-continuance-14276721,duration
record-57655,duration
time_period-period_of_time-period-14257468,duration
sleep-slumber-13225327,duration
streak-run-7947828,duration

## EDUCATIONAL_INSTITUTION
educational_institution-7776476,educational_institution

## ETHNIC_GROUP
ethnic_group-ethnos-7485823,ethnic_group
background-4672981,ethnic_group
race-7486459,ethnic_group
kin-kin_group-kinship_group-kindred-clan-tribe-7488154,ethnic_group

## FEET
foot-ft-12878869,feet

## FESTIVAL
festival-fete-492821,festival

## FILM
movie-film-picture-moving_picture-moving-picture_show-motion_picture-motion-picture_show-picture_show-pic-flick-6205452,film

## FIRST_NAME
first_name-given_name-forename-5946543,first_name
middle_name-5946438,first_name

## FLOWER
flower-bloom-blossom-10924345,flower
angiosperm-flowering_plant-10920470,flower

## FOOD
food-nutrient-18827,food

## FREQUENCY
frequency-relative_frequency-13039600,frequency
rate-14421305,frequency

## FRUIT
fruit-12382403,fruit

## GALLONS
gallon-gal-12853471,gallons

## GRAMS
gram-gramme-gm-g-12950511,grams

