Benchmark, Stat, Platform, Run#, Value
regex,L3 Loads,pc,1,1706545
regex,L3 Loads,pc,2,835011
regex,L3 Loads,pc,3,749021
regex,L3 Loads,pc,4,1692239
regex,L3 Loads,pc,5,2616447
regex,L3 Loads,pc,6,1037620
regex,L3 Loads,pc,7,699328
regex,L3 Loads,pc,8,2455053
regex,L3 Loads,pc,9,1158757
regex,L3 Loads,pc,0,3477544
regex,L3 Stores,pc,1,242253
regex,L3 Stores,pc,2,173082
regex,L3 Stores,pc,3,184784
regex,L3 Stores,pc,4,255451
regex,L3 Stores,pc,5,289184
regex,L3 Stores,pc,6,199427
regex,L3 Stores,pc,7,181733
regex,L3 Stores,pc,8,317451
regex,L3 Stores,pc,9,167139
regex,L3 Stores,pc,0,365028
regex,L1 I-Cache Load Misses,pc,1,23507528
regex,L1 I-Cache Load Misses,pc,2,6067064
regex,L1 I-Cache Load Misses,pc,3,4070692
regex,L1 I-Cache Load Misses,pc,4,22846548
regex,L1 I-Cache Load Misses,pc,5,22196415
regex,L1 I-Cache Load Misses,pc,6,9015392
regex,L1 I-Cache Load Misses,pc,7,4520363
regex,L1 I-Cache Load Misses,pc,8,50276935
regex,L1 I-Cache Load Misses,pc,9,11969227
regex,L1 I-Cache Load Misses,pc,0,62357061
regex,L1 D-Cache Load Misses,pc,1,6100004
regex,L1 D-Cache Load Misses,pc,2,2226558
regex,L1 D-Cache Load Misses,pc,3,2071272
regex,L1 D-Cache Load Misses,pc,4,6379621
regex,L1 D-Cache Load Misses,pc,5,6211397
regex,L1 D-Cache Load Misses,pc,6,3153699
regex,L1 D-Cache Load Misses,pc,7,2061472
regex,L1 D-Cache Load Misses,pc,8,8791745
regex,L1 D-Cache Load Misses,pc,9,3284194
regex,L1 D-Cache Load Misses,pc,0,13006289
regex,L1 D-Cache Store Misses,pc,1,2553004
regex,L1 D-Cache Store Misses,pc,2,844011
regex,L1 D-Cache Store Misses,pc,3,724197
regex,L1 D-Cache Store Misses,pc,4,2599796
regex,L1 D-Cache Store Misses,pc,5,2471563
regex,L1 D-Cache Store Misses,pc,6,1072256
regex,L1 D-Cache Store Misses,pc,7,680044
regex,L1 D-Cache Store Misses,pc,8,3891446
regex,L1 D-Cache Store Misses,pc,9,1233022
regex,L1 D-Cache Store Misses,pc,0,5564716
regex,Stalled cycles,pc,1,24022213897
regex,Stalled cycles,pc,2,17157946360
regex,Stalled cycles,pc,3,21111736818
regex,Stalled cycles,pc,4,31206273118
regex,Stalled cycles,pc,5,20724977212
regex,Stalled cycles,pc,6,19930785591
regex,Stalled cycles,pc,7,15351831139
regex,Stalled cycles,pc,8,28934001241
regex,Stalled cycles,pc,9,15963251226
regex,Stalled cycles,pc,0,26821876840
Benchmark, Stat, Platform, Run#, Value
regex,instructions,pc,1,104754746311
regex,instructions,pc,2,104754707149
regex,instructions,pc,3,104755282940
regex,instructions,pc,4,104762351913
regex,instructions,pc,5,104767963273
regex,instructions,pc,6,104771522481
regex,instructions,pc,7,104765856698
regex,instructions,pc,8,104766340844
regex,instructions,pc,9,104769054575
regex,instructions,pc,0,104769396889
regex,cycles,pc,1,#
regex,cycles,pc,2,#
regex,cycles,pc,3,#
regex,cycles,pc,4,#
regex,cycles,pc,5,#
regex,cycles,pc,6,#
regex,cycles,pc,7,#
regex,cycles,pc,8,#
regex,cycles,pc,9,#
regex,cycles,pc,0,#
regex,ipc,pc,1,2.43
regex,ipc,pc,2,2.43
regex,ipc,pc,3,2.34
regex,ipc,pc,4,1.92
regex,ipc,pc,5,1.86
regex,ipc,pc,6,1.82
regex,ipc,pc,7,1.98
regex,ipc,pc,8,2.19
regex,ipc,pc,9,1.88
regex,ipc,pc,0,1.90
regex,idle cycles,pc,1,28.19%
regex,idle cycles,pc,2,28.88%
regex,idle cycles,pc,3,30.39%
regex,idle cycles,pc,4,44.48%
regex,idle cycles,pc,5,43.44%
regex,idle cycles,pc,6,47.88%
regex,idle cycles,pc,7,43.30%
regex,idle cycles,pc,8,35.78%
regex,idle cycles,pc,9,43.04%
regex,idle cycles,pc,0,43.53%
regex,D-Cache Accesses,pc,1,687377
regex,D-Cache Accesses,pc,2,796224
regex,D-Cache Accesses,pc,3,1396652
regex,D-Cache Accesses,pc,4,2721654
regex,D-Cache Accesses,pc,5,4151600
regex,D-Cache Accesses,pc,6,2120903
regex,D-Cache Accesses,pc,7,1550218
regex,D-Cache Accesses,pc,8,2241021
regex,D-Cache Accesses,pc,9,3895673
regex,D-Cache Accesses,pc,0,3270641
regex,D-Cache Misses,pc,1,135150
regex,D-Cache Misses,pc,2,164913
regex,D-Cache Misses,pc,3,174213
regex,D-Cache Misses,pc,4,171323
regex,D-Cache Misses,pc,5,221107
regex,D-Cache Misses,pc,6,208661
regex,D-Cache Misses,pc,7,186604
regex,D-Cache Misses,pc,8,176901
regex,D-Cache Misses,pc,9,228550
regex,D-Cache Misses,pc,0,232793
regex,D-Cache Miss rate,pc,1,19.662
regex,D-Cache Miss rate,pc,2,20.712
regex,D-Cache Miss rate,pc,3,12.474
regex,D-Cache Miss rate,pc,4,6.295
regex,D-Cache Miss rate,pc,5,5.326
regex,D-Cache Miss rate,pc,6,9.838
regex,D-Cache Miss rate,pc,7,12.037
regex,D-Cache Miss rate,pc,8,7.894
regex,D-Cache Miss rate,pc,9,5.867
regex,D-Cache Miss rate,pc,0,7.118
regex,Runtime,pc,1,11.520983824
regex,Runtime,pc,2,11.519682303
regex,Runtime,pc,3,11.990075155
regex,Runtime,pc,4,14.835082705
regex,Runtime,pc,5,15.302912748
regex,Runtime,pc,6,15.609276328
regex,Runtime,pc,7,14.392831073
regex,Runtime,pc,8,13.034143737
regex,Runtime,pc,9,15.097831963
regex,Runtime,pc,0,14.939043907
