Benchmark, Stat, Platform, Run#, Value
pocketsphinx,instructions,pc,1,37295044576
pocketsphinx,instructions,pc,2,37280038923
pocketsphinx,instructions,pc,3,44726760106
pocketsphinx,instructions,pc,4,44219664645
pocketsphinx,instructions,pc,5,37412264915
pocketsphinx,instructions,pc,6,37283783318
pocketsphinx,instructions,pc,7,37282765468
pocketsphinx,instructions,pc,8,55381472813
pocketsphinx,instructions,pc,9,37273880729
pocketsphinx,instructions,pc,0,37270946224
pocketsphinx,cycles,pc,1,#
pocketsphinx,cycles,pc,2,#
pocketsphinx,cycles,pc,3,#
pocketsphinx,cycles,pc,4,#
pocketsphinx,cycles,pc,5,#
pocketsphinx,cycles,pc,6,#
pocketsphinx,cycles,pc,7,#
pocketsphinx,cycles,pc,8,#
pocketsphinx,cycles,pc,9,#
pocketsphinx,cycles,pc,0,#
pocketsphinx,ipc,pc,1,1.34
pocketsphinx,ipc,pc,2,1.32
pocketsphinx,ipc,pc,3,1.32
pocketsphinx,ipc,pc,4,1.31
pocketsphinx,ipc,pc,5,1.29
pocketsphinx,ipc,pc,6,1.31
pocketsphinx,ipc,pc,7,1.32
pocketsphinx,ipc,pc,8,1.33
pocketsphinx,ipc,pc,9,1.33
pocketsphinx,ipc,pc,0,1.29
pocketsphinx,idle cycles,pc,1,47.38%
pocketsphinx,idle cycles,pc,2,48.18%
pocketsphinx,idle cycles,pc,3,48.32%
pocketsphinx,idle cycles,pc,4,48.61%
pocketsphinx,idle cycles,pc,5,49.41%
pocketsphinx,idle cycles,pc,6,48.51%
pocketsphinx,idle cycles,pc,7,48.26%
pocketsphinx,idle cycles,pc,8,47.83%
pocketsphinx,idle cycles,pc,9,47.73%
pocketsphinx,idle cycles,pc,0,49.16%
pocketsphinx,D-Cache Accesses,pc,1,368431877
pocketsphinx,D-Cache Accesses,pc,2,366617435
pocketsphinx,D-Cache Accesses,pc,3,450251357
pocketsphinx,D-Cache Accesses,pc,4,446889202
pocketsphinx,D-Cache Accesses,pc,5,368854899
pocketsphinx,D-Cache Accesses,pc,6,367376646
pocketsphinx,D-Cache Accesses,pc,7,367512103
pocketsphinx,D-Cache Accesses,pc,8,567554248
pocketsphinx,D-Cache Accesses,pc,9,366728975
pocketsphinx,D-Cache Accesses,pc,0,366902313
pocketsphinx,D-Cache Misses,pc,1,321072727
pocketsphinx,D-Cache Misses,pc,2,319323489
pocketsphinx,D-Cache Misses,pc,3,392902602
pocketsphinx,D-Cache Misses,pc,4,388938434
pocketsphinx,D-Cache Misses,pc,5,321216550
pocketsphinx,D-Cache Misses,pc,6,319639947
pocketsphinx,D-Cache Misses,pc,7,320493868
pocketsphinx,D-Cache Misses,pc,8,498253919
pocketsphinx,D-Cache Misses,pc,9,318444724
pocketsphinx,D-Cache Misses,pc,0,319681508
pocketsphinx,D-Cache Miss rate,pc,1,87.146
pocketsphinx,D-Cache Miss rate,pc,2,87.100
pocketsphinx,D-Cache Miss rate,pc,3,87.263
pocketsphinx,D-Cache Miss rate,pc,4,87.032
pocketsphinx,D-Cache Miss rate,pc,5,87.085
pocketsphinx,D-Cache Miss rate,pc,6,87.006
pocketsphinx,D-Cache Miss rate,pc,7,87.206
pocketsphinx,D-Cache Miss rate,pc,8,87.790
pocketsphinx,D-Cache Miss rate,pc,9,86.834
pocketsphinx,D-Cache Miss rate,pc,0,87.130
pocketsphinx,Runtime,pc,1,7.319371864
pocketsphinx,Runtime,pc,2,7.408958893
pocketsphinx,Runtime,pc,3,8.849924724
pocketsphinx,Runtime,pc,4,8.904023804
pocketsphinx,Runtime,pc,5,7.603389746
pocketsphinx,Runtime,pc,6,7.458013879
pocketsphinx,Runtime,pc,7,7.417545009
pocketsphinx,Runtime,pc,8,10.878293727
pocketsphinx,Runtime,pc,9,7.339371635
pocketsphinx,Runtime,pc,0,7.553542835
crfsuite,instructions,pc,1,2771199853
crfsuite,instructions,pc,2,2771186267
crfsuite,instructions,pc,3,2771204062
crfsuite,instructions,pc,4,2771274190
crfsuite,instructions,pc,5,2772713001
crfsuite,instructions,pc,6,2771305299
crfsuite,instructions,pc,7,2771187216
crfsuite,instructions,pc,8,2772720038
crfsuite,instructions,pc,9,2772839198
crfsuite,instructions,pc,0,2773778911
crfsuite,cycles,pc,1,#
crfsuite,cycles,pc,2,#
crfsuite,cycles,pc,3,#
crfsuite,cycles,pc,4,#
crfsuite,cycles,pc,5,#
crfsuite,cycles,pc,6,#
crfsuite,cycles,pc,7,#
crfsuite,cycles,pc,8,#
crfsuite,cycles,pc,9,#
crfsuite,cycles,pc,0,#
crfsuite,ipc,pc,1,1.60
crfsuite,ipc,pc,2,1.61
crfsuite,ipc,pc,3,1.61
crfsuite,ipc,pc,4,1.57
crfsuite,ipc,pc,5,1.61
crfsuite,ipc,pc,6,1.61
crfsuite,ipc,pc,7,1.61
crfsuite,ipc,pc,8,1.56
crfsuite,ipc,pc,9,1.51
crfsuite,ipc,pc,0,1.54
crfsuite,idle cycles,pc,1,48.27%
crfsuite,idle cycles,pc,2,48.04%
crfsuite,idle cycles,pc,3,47.95%
crfsuite,idle cycles,pc,4,49.17%
crfsuite,idle cycles,pc,5,48.14%
crfsuite,idle cycles,pc,6,47.98%
crfsuite,idle cycles,pc,7,48.08%
crfsuite,idle cycles,pc,8,49.74%
crfsuite,idle cycles,pc,9,51.16%
crfsuite,idle cycles,pc,0,50.37%
crfsuite,D-Cache Accesses,pc,1,8418649
crfsuite,D-Cache Accesses,pc,2,8482084
