Benchmark, Stat, Platform, Run#, Value
pocketsphinx,L3 Loads,pc,1,361167181
pocketsphinx,L3 Loads,pc,2,357421970
pocketsphinx,L3 Loads,pc,3,359344679
pocketsphinx,L3 Loads,pc,4,358792699
pocketsphinx,L3 Loads,pc,5,557106396
pocketsphinx,L3 Loads,pc,6,557141281
pocketsphinx,L3 Loads,pc,7,359594326
pocketsphinx,L3 Loads,pc,8,358790586
pocketsphinx,L3 Loads,pc,9,361110730
pocketsphinx,L3 Loads,pc,0,357372030
pocketsphinx,L3 Stores,pc,1,7344277
pocketsphinx,L3 Stores,pc,2,6674625
pocketsphinx,L3 Stores,pc,3,6472799
pocketsphinx,L3 Stores,pc,4,6391258
pocketsphinx,L3 Stores,pc,5,7078773
pocketsphinx,L3 Stores,pc,6,6753496
pocketsphinx,L3 Stores,pc,7,6463698
pocketsphinx,L3 Stores,pc,8,6277619
pocketsphinx,L3 Stores,pc,9,7379631
pocketsphinx,L3 Stores,pc,0,6823137
pocketsphinx,L1 I-Cache Load Misses,pc,1,3533403
pocketsphinx,L1 I-Cache Load Misses,pc,2,3688913
pocketsphinx,L1 I-Cache Load Misses,pc,3,4110268
pocketsphinx,L1 I-Cache Load Misses,pc,4,4272640
pocketsphinx,L1 I-Cache Load Misses,pc,5,4596055
pocketsphinx,L1 I-Cache Load Misses,pc,6,4543176
pocketsphinx,L1 I-Cache Load Misses,pc,7,3549132
pocketsphinx,L1 I-Cache Load Misses,pc,8,4543230
pocketsphinx,L1 I-Cache Load Misses,pc,9,3414694
pocketsphinx,L1 I-Cache Load Misses,pc,0,3306688
pocketsphinx,L1 D-Cache Load Misses,pc,1,405249498
pocketsphinx,L1 D-Cache Load Misses,pc,2,401470399
pocketsphinx,L1 D-Cache Load Misses,pc,3,402914436
pocketsphinx,L1 D-Cache Load Misses,pc,4,400981923
pocketsphinx,L1 D-Cache Load Misses,pc,5,605624533
pocketsphinx,L1 D-Cache Load Misses,pc,6,602496555
pocketsphinx,L1 D-Cache Load Misses,pc,7,400991324
pocketsphinx,L1 D-Cache Load Misses,pc,8,401213143
pocketsphinx,L1 D-Cache Load Misses,pc,9,401060109
pocketsphinx,L1 D-Cache Load Misses,pc,0,395885590
pocketsphinx,L1 D-Cache Store Misses,pc,1,30858005
pocketsphinx,L1 D-Cache Store Misses,pc,2,29187249
pocketsphinx,L1 D-Cache Store Misses,pc,3,29515773
pocketsphinx,L1 D-Cache Store Misses,pc,4,30847501
pocketsphinx,L1 D-Cache Store Misses,pc,5,36266592
pocketsphinx,L1 D-Cache Store Misses,pc,6,36126280
pocketsphinx,L1 D-Cache Store Misses,pc,7,29385713
pocketsphinx,L1 D-Cache Store Misses,pc,8,29483011
pocketsphinx,L1 D-Cache Store Misses,pc,9,30541071
pocketsphinx,L1 D-Cache Store Misses,pc,0,27801951
pocketsphinx,Stalled cycles,pc,1,13897527365
pocketsphinx,Stalled cycles,pc,2,14088161292
pocketsphinx,Stalled cycles,pc,3,14112148998
pocketsphinx,Stalled cycles,pc,4,13537412759
pocketsphinx,Stalled cycles,pc,5,20103972490
pocketsphinx,Stalled cycles,pc,6,20127361507
pocketsphinx,Stalled cycles,pc,7,14631838828
pocketsphinx,Stalled cycles,pc,8,14501620163
pocketsphinx,Stalled cycles,pc,9,14365911678
pocketsphinx,Stalled cycles,pc,0,13423778634
crfsuite,L3 Loads,pc,1,6606130
crfsuite,L3 Loads,pc,2,6682286
crfsuite,L3 Loads,pc,3,6643371
crfsuite,L3 Loads,pc,4,6813400
crfsuite,L3 Loads,pc,5,6784289
crfsuite,L3 Loads,pc,6,6777615
crfsuite,L3 Loads,pc,7,6884061
crfsuite,L3 Loads,pc,8,6657946
crfsuite,L3 Loads,pc,9,6692880
crfsuite,L3 Loads,pc,0,6545781
crfsuite,L3 Stores,pc,1,2230845
crfsuite,L3 Stores,pc,2,2285258
crfsuite,L3 Stores,pc,3,2164210
crfsuite,L3 Stores,pc,4,2264704
crfsuite,L3 Stores,pc,5,2166345
crfsuite,L3 Stores,pc,6,2168957
crfsuite,L3 Stores,pc,7,2203038
crfsuite,L3 Stores,pc,8,2327727
crfsuite,L3 Stores,pc,9,2216255
crfsuite,L3 Stores,pc,0,2091304
crfsuite,L1 I-Cache Load Misses,pc,1,547865
crfsuite,L1 I-Cache Load Misses,pc,2,446506
crfsuite,L1 I-Cache Load Misses,pc,3,450703
crfsuite,L1 I-Cache Load Misses,pc,4,508889
crfsuite,L1 I-Cache Load Misses,pc,5,545066
crfsuite,L1 I-Cache Load Misses,pc,6,540926
crfsuite,L1 I-Cache Load Misses,pc,7,566795
crfsuite,L1 I-Cache Load Misses,pc,8,428045
crfsuite,L1 I-Cache Load Misses,pc,9,494025
crfsuite,L1 I-Cache Load Misses,pc,0,357745
crfsuite,L1 D-Cache Load Misses,pc,1,13533590
crfsuite,L1 D-Cache Load Misses,pc,2,13375106
crfsuite,L1 D-Cache Load Misses,pc,3,13398061
crfsuite,L1 D-Cache Load Misses,pc,4,13528418
crfsuite,L1 D-Cache Load Misses,pc,5,13403854
crfsuite,L1 D-Cache Load Misses,pc,6,13585011
crfsuite,L1 D-Cache Load Misses,pc,7,13525435
crfsuite,L1 D-Cache Load Misses,pc,8,13568400
crfsuite,L1 D-Cache Load Misses,pc,9,13579690
